patent_abstract,patent_date,patent_number,patent_title
"Apparatus and method is provided for determining the subjective sweet spot of a baseball bat, softball bat or other object of percussion. The subjective sweet spot is determined by first measuring the period of oscillation of the baseball bat or other object of percussion through an angular displacement of five degrees or less. Thereafter, a particular formula is utilized for determining the subjective sweet spot and the sweet spot is marked on the baseball bat for use by the hitter. The principles of this invention may be utilized on other objects of percussion such as softball bats, golf clubs and the like.",1993-12-14,5269177,"""Apparatus and method for determining the center of percussion (""""sweet spot"""") for baseball bats and other objects"""
"An improvement is added to the existing concept of using a mirrored surface to reflect a half symmetrical image which is printed on an adjoining card. The improvement is adding a perspective drawing of a related vertical object on the mirrored surface. The vertical object is positioned to interact in a coherent manner with the reflection of the half symmetrical image. The interaction between the images provides an enhanced 3-D phenomena. Additionally objects such as a ball seem to float out of the 3-D image. One embodiment further adds a movable tab which allows modifying the overall image. The invention can be used for greeting cards, books, baseball hat peaks, and assorted novelty items.",1999-02-02,5864973,3-D greeting card
NULL,1994-08-23,D349814,A soft foam insert for a combined baseball and card storage tray
"An action batter up game apparatus consisting of a baseball affixed at one end of a lengthy nylon cord having a flexible handle affixed to the opposite end, and with there being an elongated hollow open ended cylindrical slide control disposed intermediate the handle and baseball and having the cord passing therethrough.",1977-06-28,4032145,Action batter up game apparatus
"A baseball cap is provided that allows for the personalized placement of multiple logos, insignias, or text. The cap contains multiple pockets for the placement of team logos, player names, manufacturers' logos, text, pictures and the like. Each see-thru plastic pocket is independent in nature and allows the user to slip in the personalizing material through a flap. Four separate compartments would be provided on the top of the head, with another two on the bill.",2003-11-11,6643847,Adaptable decorative headwear
"The adapter comprises a clip with a groove, and a rack that engages with the groove. The clip attaches securely to an edge of a fabric, for example, a panel on a baseball cap. The rack includes an angle adjuster, on which a brow guard, welding helmet, or other protective gear can be mounted.",2017-07-18,9706805,Adapter for protective head gear
"The adapter comprises a clip with a groove, and a rack that engages with the groove. The clip attaches securely to an edge of a fabric, for example, a panel on a baseball cap. The rack includes an angle adjuster, on which a brow guard, welding helmet, or other protective gear can be mounted.",2017-09-05,9752604,Adapter for protective head gear
""" An adaptive physical education device has a frame with a variety of attachable components so that the device may be adapted to a variety of sporting applications, such as golf, baseball, and hockey. The frame, in the preferred embodiment, attaches to the front portion of a wheelchair using a pair of adjustable wheelchair brackets. A pivotable """"L"""" shaped post is attachable to the frame so that the pivotable post may be attached pointing upwards or downwards to accommodate different swinging motions of a bat or a club. An elastic spring is attached to the pivotable post at one end and to the club or bat at the opposite end. A handle is attached to the club or bat, so that the wheelchair participant may grasp the handle while seated in the wheelchair, pull back the handle, extending the elastic spring, and let go of the handle, the elastic spring propels the club or bat forward. """,1998-09-15,5807185,Adaptive physical education device
"A reversible baseball style cap provides a crown having first and second layers of material that together form a dome shape that enables a user to wear and conform the crown to the user's head, and wherein either layer can be shaped into a concavity that abuts the user's head during use and wherein the outer layer defines an outer exposed surface. A bill of a floating foam material has a first curved edge that is stitched to the crown in between the first and second layers. The bill has a second curved edge defining a front of the cap. An adjustment cord extends through an opening in at least one of the layers at a position opposite the bill. The cord has end portions that are attached to the crown at two positions generally on opposite sides of the cord opening. A sleeve adjustably, slidably attaches to the cord to form an adjustable loop with the cord. A user can adjust the fit of the hat to his or her head by moving the cord relative to the sleeve so that when the loop is enlarged or reduced in size, the cap can be fitted to the wearer when either the first or second layer is the outer exposed surface. In the preferred embodiment, the brim is of a different material than the crown, preferably a floating material that has sufficient floatation to float the entire cap, even when the crown portion is saturated with water.",2005-11-22,6966071,Adjustable and reversible baseball cap
"An adjustable ball backstop is disclosed comprising a frame and an elasticly stretched net having upper and lower generally rectangular sections, the lower section being disposed at a fixed angle relative to the vertical and the upper net section being easily adjustable such that the plane of the upper net section may be positioned at a selected angle so as to selectively direct a ball or other projectile back at a selected angle to facilitate practice of sports such as baseball, softball, tennis and the like.",1998-09-15,5807193,Adjustable ball backstop
