patent_abstract,patent_date,patent_number,patent_title
""" A """"Barometer"""" Neuron enhances stability in a Neural Network System that, when used as a track-while-scan system, assigns sensor plots to predicted track positions in a plot/track association situation. The """"Barometer"""" Neuron functions as a bench-mark or reference system node that equates a superimposed plot and track to a zero distance as a """"perfect"""" pairing of plot and track which has a measured/desired level of inhibition. The """"Barometer"""" Neuron responds to the System inputs, compares these inputs against the level of inhibition of the """"perfect"""" pair, and generates a supplied excitation or inhibition output signal to the System which adjusts the System to a desired value at or near 1.0; this the reference level of inhibition of the """"perfect"""" pair. """,1996-07-09,5535303,"""""""Barometer"""" neuron for a neural network"""
""" This invention is a novel high-speed neural network based processor for solving the """"traveling salesman"""" and other global optimization problems. It comprises a novel hybrid architecture employing a binary synaptic array whose embodiment incorporates the fixed rules of the problem, such as the number of cities to be visited. The array is prompted by analog voltages representing variables such as distances. The processor incorporates two interconnected feedback networks, each of which solves part of the problem independently and simultaneously, yet which exchange information dynamically. """,1993-10-19,5255349,"""Electronic neural network for solving """"traveling salesman"""" and similar global optimization problems"""
"An optical information processor for use as a matrix vector multiplier comprises a vector input spatial light modulator (1) and an optically addressed weight matrix spatial light modulator (3). A read beam (10) passes through the input modulator (1) and the weight modulator and onto a combined output transducer and error spatial light modulator (5). The error modulator (5) is then controlled in accordance with the difference between a target output vector and the output vector from the transducer (5), and modulates an update beam (11) which then passes through the input modulator (1) and onto the weight modulator (3). The weight modulator (3) represents a two-dimensional array of optical attenuation values which are updated in accordance with the optical radiation incident thereon during updating.",1995-01-17,5383042,3 layer liquid crystal neural network with output layer displaying error value for optical weight updating
"A method and system for intelligent control of external devices using a mammalian brain-like structure having three parts. The method and system include a computer-implemented neural network system which is an extension of the model-based adaptive critic design and is applicable to real-time control (e.g., robotic control) and real-time distributed control. Additional uses include data visualization, data mining, and other tasks requiring complex analysis of inter-relationships between data.",2001-01-02,6169981,3-brain architecture for an intelligent decision and control system
"A method and system for intelligent control of external devices using a mammalian brain-like structure having three parts. The method and system include a computer-implemented neural network system which is an extension of the model-based adaptive critic design and is applicable to real-time control (e.g., robotic control) and real-time distributed control. Additional uses include data visualization, data mining, and other tasks requiring complex analysis of inter-relationships between data.",2003-06-17,6581048,3-brain architecture for an intelligent decision and control system
""" An unknown object is non-destructively and quantitatively evaluated for three-dimensional spatial distribution of a set of material constitutive parameters of the unknown object, using a multi-element array-source transducer and a multi-element array-detector transducer located near the unknown object. The array-source transducer exposes the array-detector transducer to a set of source-field patterns pursuant to a set of electrical input signals. An unknown object located near these transducers will be the cause of scattering, thus presenting a scattered-field pattern to the array detector transducer, for each pattern of the set of source-field patterns. In a related computation, a set of training signals is determined by evaluating on a computer the scattered field from a set of computer simulated training objects. A computer, a signal processor and a neural network operate from detector response to the computer simulated and unknown object scattered-field patterns, in each of two modes. In an initial mode, the neural network is """"trained"""" or configured to process a set of transfer functions involved in array-detector response to scattered-field patterns evaluated by computer simulations for the known computer simulated objects; in another mode, the neural network utilizes its """"trained"""" configuration in application to a set of transfer functions involved in array-detector response to scattered-field patterns produced by an unknown object, to generate estimates of the three-dimensional spatial distribution of the material constitutive parameters of the unknown object. In another embodiment, a set of the Biot poro-elastic material parameters of an unknown object is estimated. """,1998-03-17,5729660,3-D inverse scattering by artificial intelligence : apparatus and method
""" An unknown object is non-destructively and quantitatively evaluated for three-dimensional spatial distribution of a set of material constitutive parameters, using a multi-element array-source transducer and a multi-element array-detector transducer in spaced, mutually facing relation. The array-source transducer exposes the array-detector transducer to a set of source-field patterns pursuant to a set of electrical input signals. Either a known object or an unknown object positioned between these transducers will be the cause of scattering, thus presenting a scattered-field pattern to the array detector transducer, for each pattern of the set of source-field patterns. A computer, a signal processor and a neural network operate from detector response to each set of scattered-field patterns, in each of two modes. In an initial mode, the neural network is """"trained"""" or configured to process a set of transfer functions involved in array-detector response to scattered-field patterns produced by the known object; in another mode, the neural network utilizes its """"trained"""" configuration in application to a set of transfer functions involved in array-detector response to scattered-field patterns produced by an unknown object, to generate estimates of the three-dimensional spatial distribution of the material constitutive parameters of the unknown object. """,1998-06-30,5774631,3-D reconstruction of objects by artificial intelligence: apparatus and method
"A security system comprised of a device for monitoring an area under surveillance. The monitoring device produces images of the area. The security system is also comprised of a device for processing the images to determine whether the area is in a desired state or an undesired state. The processing device is trainable to learn the difference between the desired state and the undesired state. In a preferred embodiment, the monitoring device includes a video camera which produces video images of the area and the processing device includes a computer simulating a neural network. A method for determining whether an area under surveillance is in a desired state or an undesired state. The method comprises the steps of collecting data in a computer about the area which defines when the area is in the desired state or the undesired state. Next, training the computer from the collected data to essentially correctly identify when the area is in the desired state or in the undesired state while the area is under surveillance. Next, performing surveillance of the area with a computer such that the computer determines whether the area is in a desired state or the undesired state.",1992-02-25,5091780,A trainable security system emthod for the same
"A target recognition system and method wherein only target amplitude data, i.e., coherent A-scan data, is interrogated for target recognition. Target aspect angle is ignored within the angular segmentation of the feature library without degrading classification performance. Observed signature characteristics are collected at various aspect angles and through unknown and arbitrary roll, pitch and yaw motions of each anticipated target and provided to a neural network as training sets. The neural network forms feature vectors for each target class which are useful for valid classification comparisons in all sea states, especially in calm and littoral waters. These feature vectors are useful for valid classification comparisons over at least 30 degrees of target aspect angle.",2002-01-08,6337654,A-scan ISAR classification system and method therefor
"A target recognition system and method wherein only target amplitude data, i.e., coherent A-scan data, is interrogated at each of a plurality of range resolution cells along the radar line of sight path for target recognition. Target aspect angle is ignored within the angular segmentation of the feature library without degrading classification performance. Observed signature characteristics are collected at various aspect angles and through unknown roll, pitch and yaw motions of each anticipated target and provided to a neural network as training sets. The neural network forms feature vectors for each target class which are useful for valid classification comparisons in all sea states, especially in calm and littoral waters. These feature vectors are useful for valid classification comparisons over at least 30 degrees of target aspect angle.",2002-08-20,6437728,A-scan ISAR target recognition system and method
